image_id,Wearing_Accessories,Thick_Lips_Nose
108829970.jpg,0,1
116516170.jpg,0,0
120840350.jpg,1,0
109640690.jpg,0,1
115812100.jpg,0,0
110868090.jpg,1,0
97493450.jpg,0,0
116069710.jpg,1,0
108471600.jpg,1,0
117628280.jpg,1,0
111059040.jpg,1,0
114427070.jpg,0,0
121422490.jpg,0,1
104467130.jpg,1,1
120076950.jpg,0,0
105316430.jpg,1,1
120995780.jpg,1,0
117423770.jpg,0,0
116347620.jpg,0,1
120708200.jpg,0,0
95178990.jpg,1,0
112641560.jpg,0,0
118624410.jpg,0,0
110373059.jpg,1,0
120315110.jpg,1,0
121578959.jpg,0,1
111026240.jpg,0,0
119138400.jpg,0,1
97755410.jpg,1,0
112180579.jpg,0,0
116984250.jpg,0,1
121523340.jpg,1,1
117471040.jpg,0,0
106291499.jpg,0,0
119634790.jpg,0,0
115093590.jpg,0,1
115752800.jpg,0,0
110236170.jpg,0,0
108772730.jpg,1,1
119677710.jpg,0,1
115484080.jpg,1,0
108677870.jpg,1,0
117262290.jpg,0,1
116368230.jpg,0,1
99174399.jpg,0,0
121734410.jpg,1,1
116392940.jpg,1,0
117056920.jpg,0,0
115317080.jpg,1,0
108075440.jpg,0,0
115503950.jpg,0,1
112445229.jpg,0,1
89372180.jpg,1,0
112711720.jpg,0,1
122189540.jpg,0,0
121321300.jpg,1,0
113972000.jpg,0,0
119609520.jpg,0,0
118918690.jpg,1,0
117977960.jpg,1,0
119405300.jpg,1,0
115453930.jpg,1,1
94296370.jpg,0,1
110010160.jpg,0,1
112856230.jpg,0,0
112439600.jpg,0,1
120632410.jpg,0,1
97995150.jpg,1,0
120302720.jpg,1,1
116823900.jpg,0,0
100991370.jpg,1,0
108341350.jpg,1,1
104662980.jpg,0,0
120731520.jpg,0,1
109560560.jpg,1,1
121181970.jpg,0,1
120037240.jpg,1,1
113564820.jpg,1,0
105941820.jpg,1,0
119870460.jpg,0,0
119265770.jpg,0,0
109275740.jpg,0,0
73290940.jpg,0,1
102843870.jpg,1,0
120904090.jpg,0,0
106015230.jpg,1,0
117565069.jpg,1,0
121698240.jpg,1,1
104850880.jpg,0,0
106432320.jpg,0,0
121028040.jpg,0,0
113059870.jpg,0,1
121830600.jpg,1,1
99383720.jpg,1,0
111740760.jpg,0,1
104596400.jpg,1,1
113471070.jpg,1,1
103792560.jpg,0,0
116260840.jpg,0,1
113910060.jpg,0,0
109050200.jpg,0,0
105013620.jpg,0,0
110722790.jpg,0,0
115751210.jpg,0,0
109845469.jpg,1,0
119811090.jpg,0,1
110718590.jpg,1,1
117491350.jpg,1,0
101729420.jpg,0,1
89950410.jpg,0,0
103758009.jpg,0,0
113438199.jpg,1,1
112346920.jpg,1,0
109714520.jpg,0,1
104923010.jpg,0,0
108340950.jpg,0,0
115383890.jpg,0,0
120823390.jpg,0,1
104657000.jpg,0,0
112538570.jpg,0,1
120051490.jpg,1,1
112427689.jpg,1,0
92085390.jpg,0,0
94621099.jpg,0,0
119067430.jpg,0,0
118545909.jpg,0,1
120363630.jpg,1,0
121451060.jpg,0,0
118113550.jpg,1,1
120393980.jpg,0,0
106019700.jpg,0,0
116372290.jpg,1,1
119042239.jpg,1,0
113566810.jpg,0,0
116787700.jpg,0,0
117899049.jpg,0,0
111414560.jpg,0,0
115647780.jpg,0,1
116832080.jpg,0,0
118029200.jpg,1,0
118979090.jpg,1,0
121694500.jpg,1,1
111063250.jpg,1,0
112787970.jpg,0,0
121965780.jpg,0,1
108402470.jpg,0,0
116950470.jpg,0,0
111229300.jpg,1,1
65395860.jpg,0,1
119465109.jpg,0,0
118268160.jpg,1,1
94937130.jpg,0,1
67428810.jpg,0,0
109091440.jpg,1,1
107814740.jpg,1,1
100008410.jpg,0,0
112656300.jpg,0,0
115501539.jpg,1,1
121067440.jpg,1,0
121968450.jpg,0,0
111226200.jpg,0,1
121607610.jpg,1,0
122021200.jpg,0,0
113367850.jpg,1,1
109979240.jpg,1,0
117584100.jpg,0,1
120223359.jpg,1,1
87957340.jpg,1,1
112781390.jpg,1,1
87463979.jpg,1,0
102547430.jpg,0,0
116579339.jpg,1,0
121502800.jpg,0,0
118613620.jpg,1,1
118637800.jpg,0,1
104954050.jpg,0,0
97640530.jpg,1,0
112338600.jpg,1,1
119901900.jpg,0,1
119307009.jpg,0,0
120335570.jpg,1,1
109447710.jpg,1,0
116223270.jpg,0,0
119459800.jpg,0,0
120885050.jpg,1,0
100621990.jpg,0,0
121316450.jpg,0,1
114826000.jpg,0,0
115672720.jpg,0,0
103817070.jpg,0,0
122179220.jpg,1,0
120854910.jpg,1,0
104436000.jpg,0,1
121438200.jpg,1,0
121420140.jpg,1,1
109164690.jpg,0,0
118460710.jpg,0,0
122034240.jpg,1,1
111675440.jpg,1,0
85765940.jpg,0,0
109182830.jpg,0,0
106921720.jpg,0,1
117979770.jpg,0,0
76453980.jpg,0,0
118214539.jpg,0,1
76879970.jpg,1,0
114998100.jpg,0,0
107272680.jpg,0,0
118891950.jpg,0,1
114561220.jpg,0,1
111228269.jpg,1,1
110557200.jpg,0,1
121211740.jpg,1,0
115033900.jpg,1,0
107953220.jpg,0,0
122120200.jpg,1,1
116574150.jpg,1,0
81794800.jpg,0,1
111186380.jpg,0,1
117326310.jpg,0,0
121532520.jpg,0,0
120729410.jpg,1,0
121392540.jpg,1,1
109976570.jpg,0,1
117706560.jpg,1,0
118309719.jpg,0,1
110812810.jpg,0,0
114485470.jpg,0,0
92590350.jpg,1,1
121181699.jpg,1,0
112545430.jpg,1,0
115243300.jpg,1,1
118991530.jpg,0,1
102663930.jpg,0,0
115230140.jpg,1,1
118796640.jpg,1,0
116382270.jpg,0,0
117891770.jpg,1,0
122139320.jpg,1,1
107857460.jpg,0,0
120308620.jpg,0,1
115142950.jpg,0,0
121341420.jpg,0,0
121314350.jpg,0,0
85537180.jpg,0,0
116356210.jpg,1,0
111096380.jpg,1,1
120974570.jpg,0,0
117573060.jpg,0,0
115844550.jpg,1,0
115606670.jpg,1,1
96438750.jpg,1,0
108506760.jpg,1,1
104979190.jpg,1,1
113345640.jpg,1,0
114252410.jpg,1,0
104301370.jpg,1,0
121110030.jpg,0,1
120397880.jpg,1,0
112824680.jpg,1,1
116478059.jpg,0,1
106088840.jpg,0,0
117052060.jpg,1,1
110711900.jpg,1,1
109423140.jpg,0,0
122084700.jpg,1,1
105410160.jpg,0,0
121802110.jpg,1,1
118878010.jpg,0,0
114933040.jpg,1,1
121243420.jpg,0,0
120507860.jpg,1,0
100405940.jpg,0,1
119400090.jpg,1,1
121554900.jpg,0,1
115533760.jpg,0,0
116395140.jpg,0,1
121746700.jpg,1,1
111089939.jpg,1,1
122065530.jpg,1,0
121822310.jpg,0,0
117060720.jpg,0,1
110245300.jpg,1,0
94797570.jpg,0,0
116019980.jpg,0,1
115859810.jpg,1,0
111559360.jpg,0,0
105487830.jpg,1,1
121625440.jpg,0,1
115075310.jpg,0,0
120160800.jpg,0,0
118766450.jpg,0,0
110032660.jpg,0,0
110620180.jpg,0,1
117785540.jpg,0,1
115254370.jpg,0,0
116647190.jpg,1,0
103998290.jpg,0,0
108908890.jpg,1,0
117871190.jpg,0,0
115718450.jpg,0,0
118059380.jpg,0,0
120974679.jpg,0,0
113478500.jpg,0,1
119937020.jpg,1,1
118004780.jpg,0,0
110584170.jpg,0,0
92538790.jpg,0,0
109232190.jpg,1,0
111680100.jpg,0,0
113446130.jpg,1,1
118540440.jpg,0,1
110039480.jpg,0,0
120606480.jpg,0,0
120822369.jpg,1,1
116627840.jpg,1,0
119173500.jpg,0,0
106765770.jpg,1,0
117823260.jpg,0,0
112845560.jpg,0,0
109613300.jpg,0,0
94533650.jpg,0,0
109633420.jpg,0,1
119740080.jpg,1,0
110594880.jpg,0,1
119726450.jpg,0,0
107409730.jpg,0,1
118871680.jpg,1,1
83581970.jpg,0,0
110011990.jpg,0,0
118216520.jpg,0,1
106488950.jpg,0,1
114221140.jpg,0,0
113085550.jpg,0,0
85247640.jpg,0,0
114239850.jpg,0,0
115611630.jpg,1,0
115724010.jpg,0,0
119714189.jpg,0,0
112246430.jpg,0,1
93731390.jpg,0,0
118264650.jpg,1,0
96666890.jpg,1,0
117912839.jpg,1,0
91017520.jpg,0,0
118751420.jpg,1,1
113582000.jpg,0,0
118192920.jpg,0,1
113757880.jpg,0,1
120988600.jpg,1,0
109697660.jpg,0,0
120262580.jpg,1,0
83586660.jpg,1,1
118956750.jpg,1,0
102518530.jpg,0,0
117776950.jpg,1,1
113819620.jpg,0,0
116778630.jpg,1,0
107721199.jpg,0,0
117521080.jpg,1,0
112518070.jpg,0,0
112305630.jpg,1,1
118249370.jpg,0,0
121682980.jpg,0,1
121146530.jpg,0,0
98083520.jpg,0,1
114341740.jpg,0,1
120360370.jpg,0,0
122103140.jpg,1,1
117559810.jpg,1,0
113978740.jpg,0,0
118005080.jpg,0,1
108356120.jpg,0,1
114563230.jpg,0,0
114198560.jpg,0,0
117096350.jpg,0,0
121288780.jpg,0,0
119471530.jpg,1,0
119333320.jpg,1,0
91068670.jpg,1,0
69837900.jpg,0,0
112948320.jpg,0,0
106788139.jpg,0,0
121350170.jpg,0,0
120145190.jpg,0,0
97648000.jpg,0,1
115790880.jpg,0,1
101855410.jpg,1,1
93461820.jpg,0,1
118621940.jpg,1,1
119254590.jpg,0,0
119699580.jpg,1,0
105749000.jpg,1,0
109768850.jpg,0,1
121046490.jpg,0,0
120270300.jpg,1,1
119888860.jpg,1,0
